<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20100402,3.0580,3.1659,3.0580,3.1659,90
ABI,20100405,3.1299,3.2379,2.8781,3.2379,8130
ABI,20100406,2.8781,2.8781,2.8781,2.8781,100
ABI,20100407,2.8781,2.9141,2.8781,2.9141,3800
ABI,20100408,2.8781,2.8781,2.8781,2.8781,1200
ABI,20100409,2.8781,2.8781,2.8781,2.8781,0
ABI,20100412,3.1659,3.1659,2.6263,3.0940,2050
ABI,20100413,3.3818,3.3818,2.8062,2.8781,1440
ABI,20100414,3.1659,3.1659,3.1659,3.1659,1610
ABI,20100415,3.2379,3.2379,3.2379,3.2379,50
ABI,20100416,3.5617,3.5617,3.2019,3.3458,800
ABI,20100419,3.6696,3.6696,3.2379,3.2379,1610
ABI,20100420,3.5977,3.5977,3.4538,3.5617,1155
ABI,20100421,3.7776,3.7776,3.2379,3.2739,9860
ABI,20100422,3.5977,3.5977,3.2379,3.3458,4120
ABI,20100426,3.5976,3.5976,3.3818,3.3818,4410
ABI,20100427,3.7416,3.7416,3.7416,3.7416,10
ABI,20100428,4.1014,4.1014,3.3818,3.4178,5110
ABI,20100429,3.4178,3.4178,3.4178,3.4178,0
ABI,20100504,3.7416,3.7416,3.2379,3.5257,30740
ABI,20100505,3.9574,3.9574,3.2379,3.9574,8717
ABI,20100506,3.5976,3.8495,3.5257,3.8495,17943
ABI,20100507,3.7416,4.1013,3.7416,4.1013,28632
ABI,20100510,4.4611,4.4611,3.6696,4.4611,10330
ABI,20100511,4.3891,4.3891,3.5977,4.0654,5480
ABI,20100512,4.1733,4.1733,3.5977,4.1733,28430
ABI,20100513,3.9934,3.9934,3.2739,3.3099,7420
ABI,20100514,3.3459,3.6697,3.3459,3.5977,7950
ABI,20100517,3.8495,3.8495,3.2739,3.2739,2480
ABI,20100518,3.9575,3.9575,3.2379,3.4178,24355
ABI,20100519,3.4178,3.7416,3.4178,3.7416,300
ABI,20100520,3.5617,3.7056,3.2739,3.2739,5300
ABI,20100521,3.7776,3.7776,3.2379,3.7416,3910
