<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTI,20120618,5.9953,5.9953,5.9031,5.9492,52200
PTI,20120619,5.9492,5.9953,5.9031,5.9953,151700
PTI,20120620,5.9953,6.3988,5.9953,6.3702,114500
PTI,20120621,6.3702,6.3702,6.1406,6.1406,15300
PTI,20120622,6.1406,6.1406,6.0258,6.0258,20400
PTI,20120625,5.7389,5.7963,5.7389,5.7963,3400
PTI,20120626,5.3946,5.9111,5.3946,5.9111,6100
PTI,20120627,5.7389,5.9111,5.7389,5.9111,5100
PTI,20120628,5.7389,5.7389,5.7389,5.7389,3100
PTI,20120629,5.7389,6.0832,5.7389,6.0832,9300
PTI,20120702,5.8536,5.8536,5.7389,5.7389,700
PTI,20120703,5.6241,5.6815,5.4520,5.6815,4100
PTI,20120704,5.6815,5.7389,5.6815,5.6815,9600
PTI,20120705,5.3946,5.6815,5.3946,5.6815,1100
PTI,20120706,5.5093,5.6815,5.5093,5.6815,6700
PTI,20120709,5.3946,5.6815,5.3946,5.6815,1200
PTI,20120710,5.6815,5.6815,5.6815,5.6815,0
PTI,20120711,5.6815,5.6815,5.6815,5.6815,0
PTI,20120712,5.6815,5.6815,5.6815,5.6815,0
PTI,20120713,5.5667,5.7389,5.5667,5.7389,3100
PTI,20120716,5.9685,5.9685,5.9685,5.9685,100
PTI,20120717,5.9685,5.9685,5.6816,5.7389,2600
PTI,20120718,5.5667,5.9111,5.5093,5.9111,3000
PTI,20120719,5.9111,6.0259,5.8537,5.9685,42200
PTI,20120720,6.0833,6.0833,6.0258,6.0258,900
PTI,20120723,6.0258,6.0258,6.0258,6.0258,100
PTI,20120724,6.0258,6.0258,6.0258,6.0258,0
PTI,20120725,5.7389,5.7389,5.6241,5.6241,12300
PTI,20120726,5.6241,5.8537,5.3372,5.8537,5200
PTI,20120727,5.5094,5.8537,5.5094,5.8537,200
PTI,20120730,5.4520,5.7963,5.4520,5.7389,1300
PTI,20120731,5.4520,5.8537,5.4520,5.8537,200
PTI,20120801,5.4520,5.4520,5.4520,5.4520,10600
PTI,20120802,5.7389,5.7963,5.7389,5.7963,40300
PTI,20120803,5.7389,5.7389,5.7389,5.7389,2300
PTI,20120806,5.7963,5.7963,5.7389,5.7389,700
PTI,20120807,5.7963,5.9111,5.7389,5.9111,12700
PTI,20120808,5.7963,6.0259,5.7963,6.0258,34200
PTI,20120809,6.0258,6.0258,6.0258,6.0258,0
PTI,20120810,6.0258,6.0258,6.0258,6.0258,40000
PTI,20120813,5.7962,5.7962,5.7389,5.7389,7500
PTI,20120814,5.7389,5.7963,5.7389,5.7963,7500
PTI,20120815,5.7389,5.7389,5.7389,5.7389,15200
PTI,20120816,5.7963,5.7963,5.7963,5.7963,1000
PTI,20120817,5.7963,5.7963,5.7389,5.7389,14500
PTI,20120820,5.7963,5.7963,5.7963,5.7963,100
PTI,20120821,5.7389,5.7389,5.5093,5.5093,14500
PTI,20120822,5.5667,5.5667,5.5667,5.5667,3000
PTI,20120823,5.5093,5.5093,5.2798,5.2798,7600
PTI,20120824,5.2224,5.3946,5.2224,5.3946,3200
PTI,20120827,5.2798,5.7389,5.2798,5.2798,11600
PTI,20120828,5.5667,5.6815,5.1650,5.1650,8200
PTI,20120829,5.1650,5.1650,5.1650,5.1650,0
PTI,20120830,5.5093,5.5093,5.3372,5.3372,200
PTI,20120831,5.6815,5.6815,5.2224,5.2224,5400
PTI,20120904,5.5667,5.5667,5.1650,5.1650,2300
PTI,20120905,5.6815,5.6815,5.2798,5.2798,2500
PTI,20120906,5.3372,5.3372,5.2798,5.2798,10800
PTI,20120907,5.2798,5.2798,5.2798,5.2798,0
PTI,20120910,5.5094,5.6241,5.5094,5.6241,200
PTI,20120911,5.5667,5.5667,5.5667,5.5667,0
PTI,20120912,5.3945,5.7963,5.3371,5.3946,8400
PTI,20120913,5.4520,5.4520,5.4520,5.4520,200
PTI,20120914,5.4520,5.7963,5.4520,5.5093,800
PTI,20120917,5.7389,5.8536,5.4519,5.4520,12600
PTI,20120918,5.7389,5.7963,5.4520,5.4520,4500
PTI,20120919,5.4520,5.4520,5.4520,5.4520,100
PTI,20120920,5.6242,5.6816,5.4520,5.4520,8000
PTI,20120921,5.4520,5.5094,5.4520,5.5093,8600
PTI,20120924,5.4519,5.4519,5.1650,5.2798,2600
PTI,20120925,5.3372,5.3372,5.3372,5.3372,500
PTI,20120926,5.3372,5.3372,5.3372,5.3372,400
PTI,20120927,5.3372,5.6241,5.3372,5.6241,7300
PTI,20120928,5.6241,5.6241,5.6241,5.6241,0
PTI,20121001,5.4519,5.5093,5.4519,5.5093,500
PTI,20121002,5.5093,5.5667,5.5093,5.5667,4000
PTI,20121003,5.5093,5.5093,5.5093,5.5093,1100
PTI,20121004,5.5093,5.5093,5.5093,5.5093,3100
PTI,20121005,5.6815,5.8537,5.6815,5.8537,29400
PTI,20121008,5.8537,5.8537,5.8537,5.8537,0
